urun_id,isim,marka,kategori,gozlem_sayisi,ortalama_fiyat,medyan_fiyat,min_fiyat,max_fiyat,fiyat_std,ortalama_indirim,medyan_indirim,max_indirim,indirim_std,indirimli_gun_orani,kampanyali_gun_orani,farkli_kampanya_sayisi,yorum_sayisi,begeni_sayi,ilk_fiyat,son_fiyat,fiyat_araligi,fiyat_araligi_orani,fiyat_degisim_orani,populerlik_skoru,log_ortalama_fiyat,cluster,cluster_adi
10404234,Note Flawless Lipgloss 01,Note Cosmetics,Makyaj,12,160.20833333333334,175.0,104.5,175.0,27.922342254361414,54.14166666666666,49.9,70.1,8.001756435971167,1.0,0.25,1,12,4000.0,175.0,174.0,70.5,0.40285714285714286,-0.005714285714285714,10.859248966318772,5.082697524352567,0,Sürekli İndirimli Ana Katalog Ürünleri
10404235,Note Flawless Lipgloss 02,Note Cosmetics,Makyaj,13,161.34615384615384,175.0,104.5,175.0,27.046552934542795,53.815384615384616,49.9,70.1,7.750897383942728,1.0,0.23076923076923078,1,11,3000.0,139.5,174.0,70.5,0.40285714285714286,0.24731182795698925,10.491607495228367,5.089730807761017,0,Sürekli İndirimli Ana Katalog Ürünleri
10404236,Note Flawless Lipgloss 03,Note Cosmetics,Makyaj,5,160.7,175.0,104.5,175.0,31.41973901864877,54.0,49.9,70.1,9.00111104253247,1.0,0.2,1,24,5000.0,175.0,174.0,70.5,0.40285714285714286,-0.005714285714285714,11.736268996287105,5.085742766583061,0,Sürekli İndirimli Ana Katalog Ürünleri
10404237,Note Flawless Lipgloss 04,Note Cosmetics,Makyaj,11,155.63636363636363,175.0,104.5,175.0,28.874808145761687,55.45454545454545,49.9,70.1,8.275670804999875,1.0,0.36363636363636365,1,12,3000.0,139.5,174.0,70.5,0.40285714285714286,0.24731182795698925,10.571650202901903,5.053926963729559,0,Sürekli İndirimli Ana Katalog Ürünleri
10404240,Note Flawless Lipgloss 05,Note Cosmetics,Makyaj,13,158.69230769230768,175.0,104.5,175.0,27.391861976946775,54.57692307692308,49.9,70.1,7.851767725184972,1.0,0.3076923076923077,1,9,2000.0,139.5,175.0,70.5,0.40285714285714286,0.25448028673835127,9.903987427577778,5.073248886824242,0,Sürekli İndirimli Ana Katalog Ürünleri
10404241,Note Flawless Lipgloss 06,Note Cosmetics,Makyaj,14,164.82142857142858,175.0,104.5,175.0,21.557264653491163,52.82142857142857,49.9,70.1,6.18138378476094,1.0,0.21428571428571427,1,13,2000.0,139.5,174.0,70.5,0.40285714285714286,0.24731182795698925,10.240459664198992,5.110911477844718,0,Sürekli İndirimli Ana Katalog Ürünleri
10404774,Nivea Men Fresh Active Erkek Deodorant Sprey 150 ml + Mini Roll-on 25 ml,Nivea,Erkek Bakım,11,229.4090909090909,250.0,174.5,250.0,35.26600217051699,47.51818181818181,42.8,60.1,8.080819040396612,1.0,0.2727272727272727,1,2,1000.0,174.5,250.0,75.5,0.302,0.4326647564469914,8.00736706798333,5.439856385114034,0,Sürekli İndirimli Ana Katalog Ürünleri
10405080,Beaulis Drag It Inkpen Keçe Uçlu Eyeliner 196 Brown,Beaulis,Makyaj,13,101.65384615384616,109.5,59.5,119.5,22.112764616265398,56.56153846153846,50.0,75.1,9.479498796661003,1.0,0.38461538461538464,1,190,34000.0,87.5,119.5,60.0,0.547945205479452,0.3657142857142857,15.686418642977117,4.631362611383042,0,Sürekli İndirimli Ana Katalog Ürünleri
10405302,Urban Care Monoi & Ylang Ylang Kuru Şampuan 200 ml,Urban,Saç Bakım,14,254.57142857142858,270.0,162.0,270.0,33.007491657114834,53.464285714285715,50.0,70.0,6.227928059321808,1.0,0.21428571428571427,1,10,4000.0,216.0,270.0,108.0,0.4,0.25,10.692194881655606,5.543501934453406,0,Sürekli İndirimli Ana Katalog Ürünleri
10406460,Maybelline New York Lifter Gloss Nemlendirici Dudak Parlatıcısı 023 Sweetheart,Maybelline,Makyaj,12,495.8333333333333,519.0,390.0,519.0,49.764597371174936,61.875,60.1,70.0,3.8193585848935427,1.0,0.3333333333333333,1,18,5000.0,519.0,499.0,129.0,0.24855491329479767,-0.038535645472061654,11.461832150585344,6.208254624450016,0,Sürekli İndirimli Ana Katalog Ürünleri
10406461,Maybelline New York Lifter Gloss Nemlendirici Dudak Parlatıcısı 024 Bubblegum,Maybelline,Makyaj,12,557.5833333333334,584.5,390.0,649.0,103.58084969839948,57.11666666666667,55.05,70.0,7.954282246727611,1.0,0.25,1,15,6000.0,649.0,499.0,259.0,0.4431137724550898,-0.23112480739599384,11.472270123229295,6.325403816569957,0,Sürekli İndirimli Ana Katalog Ürünleri
10406462,Maybelline New York Lifter Gloss Nemlendirici Dudak Parlatıcısı 025 Taffy,Maybelline,Makyaj,12,570.0833333333334,649.0,390.0,649.0,104.91074850326422,56.15833333333333,50.1,70.0,8.057120885880822,1.0,0.25,1,38,14000.0,649.0,499.0,259.0,0.39907550077041604,-0.23112480739599384,13.210445680747572,6.347535141797824,0,Sürekli İndirimli Ana Katalog Ürünleri
10406891,Aqua di Polo 1987 Gran Paradiso Blue EDP Erkek Parfüm 50 ml,Aqua,Erkek Bakım,13,442.11538461538464,449.0,359.5,449.0,24.822833781079,50.861538461538466,50.1,60.0,2.745765971314883,1.0,0.07692307692307693,1,1,206.0,449.0,449.0,89.5,0.19933184855233854,0.0,6.025865973825314,6.093830198016572,0,Sürekli İndirimli Ana Katalog Ürünleri
10406893,Aqua di Polo 1987 Gran Paradiso Blue Sport EDP Erkek Parfüm 50 ml,Aqua,Erkek Bakım,13,343.65384615384613,349.0,279.5,349.0,19.275831818826713,50.861538461538466,50.1,60.0,2.745765971314883,1.0,0.07692307692307693,1,2,392.0,349.0,349.0,69.5,0.1991404011461318,0.0,7.072421900537371,5.842540568862737,0,Sürekli İndirimli Ana Katalog Ürünleri
10406894,Aqua di Polo 1987 Gran Paradiso Red EDP Erkek Parfüm 50 ml,Aqua,Erkek Bakım,13,442.11538461538464,449.0,359.5,449.0,24.822833781079,50.861538461538466,50.1,60.0,2.745765971314883,1.0,0.07692307692307693,1,3,167.0,449.0,449.0,89.5,0.19933184855233854,0.0,6.51025834052315,6.093830198016572,0,Sürekli İndirimli Ana Katalog Ürünleri
10406905,Aqua di Polo 1987 Gran Paradiso Jungle Sport EDP Erkek Parfüm 50 ml,Aqua,Erkek Bakım,13,370.61538461538464,349.0,279.5,699.5,100.66718139620484,47.00769230769231,50.1,60.0,14.386652467852599,0.9230769230769231,0.07692307692307693,1,1,282.0,349.0,349.0,420.0,1.2034383954154728,0.0,6.338594078203183,5.91785940709287,0,Sürekli İndirimli Ana Katalog Ürünleri
10406906,Aqua di Polo 1987 Gran Paradiso EDP Erkek Parfüm 50 ml,Aqua,Erkek Bakım,13,442.11538461538464,449.0,359.5,449.0,24.822833781079,50.861538461538466,50.1,60.0,2.745765971314883,1.0,0.07692307692307693,1,0,197.0,449.0,449.0,89.5,0.19933184855233854,0.0,5.288267030694535,6.093830198016572,0,Sürekli İndirimli Ana Katalog Ürünleri
10407242,Maruderm Leke Karşıtı Cilt Beyazlatıcı Bakım Kremi 200 ml,Maruderm,Cilt Bakım,9,311.1111111111111,320.0,240.0,400.0,48.07401700618652,61.111111111111114,60.0,70.0,6.009252125773315,1.0,0.4444444444444444,1,84,15000.0,320.0,400.0,160.0,0.5,0.25,14.058523401019206,5.743359249768024,0,Sürekli İndirimli Ana Katalog Ürünleri
10407244,Maruderm Karma ve Yağlı Ciltlere Özel Salisilik Asit BHA Yüz Temizleme Jeli 400 ml,Maruderm,Cilt Bakım,8,329.375,340.0,255.0,425.0,54.47394527924074,61.25,60.0,70.0,6.408699444616558,1.0,0.375,1,127,28000.0,340.0,425.0,170.0,0.5,0.25,15.092025766724934,5.800228372924454,0,Sürekli İndirimli Ana Katalog Ürünleri
10407245,Maruderm Hassas ve Atopik Ciltler İçin Yüz Yıkama Jeli 400 ml,Maruderm,Cilt Bakım,7,327.85714285714283,340.0,255.0,425.0,58.6555725441001,61.42857142857143,60.0,70.0,6.900655593423543,1.0,0.2857142857142857,1,53,11000.0,340.0,425.0,170.0,0.5,0.25,13.29472550330371,5.795623440226515,0,Sürekli İndirimli Ana Katalog Ürünleri
10407246,"Maruderm Gözenek Sıkılaştırıcı, Siyah Nokta ve Akne Karşıtı BHA Tonik 250 ml",Maruderm,Cilt Bakım,10,247.0,260.0,195.0,325.0,41.10960958218893,62.0,60.0,70.0,6.324555320336762,1.0,0.4,1,77,20000.0,260.0,325.0,130.0,0.5,0.25,14.260246377975761,5.5134287461649825,0,Sürekli İndirimli Ana Katalog Ürünleri
10407247,Maruderm Leke Karşıtı Cilt Beyazlatıcı Aha Tonik 250 ml,Maruderm,Cilt Bakım,11,254.0909090909091,260.0,195.0,325.0,35.05839284808859,60.90909090909091,60.0,70.0,5.393598899705937,1.0,0.36363636363636365,1,32,16000.0,260.0,325.0,130.0,0.5,0.25,13.176914060735355,5.541619987864036,0,Sürekli İndirimli Ana Katalog Ürünleri
10407249,Maruderm C Vitamini ve Peptid Aydınlatıcı Cilt Bakım Serumu 30 ml,Maruderm,Cilt Bakım,13,254.23076923076923,280.0,199.0,350.0,49.22085236657639,63.69230769230769,60.0,71.6,7.044910874579548,1.0,0.38461538461538464,1,103,22000.0,199.0,350.0,151.0,0.5392857142857143,0.7587939698492462,14.643234084994253,5.542168113288853,0,Sürekli İndirimli Ana Katalog Ürünleri
10407250,Maruderm Kolajen ve Hyalüronik Asit Cilt Bakım Serumu 30 ml,Maruderm,Cilt Bakım,10,273.0,280.0,210.0,350.0,39.73523485382827,61.0,60.0,70.0,5.676462121975467,1.0,0.4,1,33,11000.0,280.0,350.0,140.0,0.5,0.25,12.832101981355596,5.6131281063880705,0,Sürekli İndirimli Ana Katalog Ürünleri
10407251,Maruderm Gözenek Sıkılaştırıcı BHA ve Peptit Cilt Bakım Serumu 30 ml,Maruderm,Cilt Bakım,12,262.5,280.0,210.0,280.0,31.65869118066518,62.5,60.0,70.0,4.5226701686664565,1.0,0.4166666666666667,1,21,11000.0,280.0,280.0,70.0,0.25,0.0,12.396783910097751,5.574053367981417,0,Sürekli İndirimli Ana Katalog Ürünleri
