urun_id,lag_1w_indirim,lag_2w_indirim,lag_3w_indirim,rolling_std_indirim,max_indirim_train,indirimli_gun_orani,kampanyali_gun_orani,gozlem_sayisi,kategori_x,cluster,cluster_adi,kategori_enc,tahmini_indirim,isim,marka,kategori_y,kategori
10494417,40.1,40.1,60.0,0.0,60.0,1.0,1.0,13,Kişisel Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,8,53.163925781157175,Nascita Ustura ve Kaş Makası Seti 2'li,Nascita,Kişisel Bakım,Kişisel Bakım
10494418,40.2,40.2,40.2,0.0,60.1,0.9230769230769231,1.0,13,Kişisel Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,8,41.90947721106434,Nascita Pro Faux Mink Takma Kirpik 106,Nascita,Kişisel Bakım,Kişisel Bakım
10494430,40.0,40.0,40.0,0.0,60.0,1.0,1.0,13,Kişisel Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,8,40.28943651060173,Nascita Bronz Profesyonel Cımbız 58,Nascita,Kişisel Bakım,Kişisel Bakım
10494432,40.4,40.4,40.4,0.0,60.2,1.0,1.0,13,Kişisel Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,8,40.407042342733526,Nascita Mavi Büyük Profesyonel Tırnak Makası 18,Nascita,Kişisel Bakım,Kişisel Bakım
10494433,40.4,40.4,40.4,0.0,60.2,0.9166666666666666,1.0,12,Kişisel Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,8,42.326629341863864,Nascita Mor Büyük Profesyonel Tırnak Makası 18,Nascita,Kişisel Bakım,Kişisel Bakım
10494435,40.4,40.4,,0.0,60.2,1.0,1.0,10,Kişisel Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,8,29.532119637455914,Nascita Bronz Büyük Profesyonel Tırnak Makası 18,Nascita,Kişisel Bakım,Kişisel Bakım
10494436,40.6,40.6,40.6,0.0,60.2,1.0,1.0,10,Kişisel Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,8,40.407042342733526,Nascita Yumurta Makyaj Süngeri (Asortili),Nascita,Kişisel Bakım,Kişisel Bakım
10494437,40.1,40.1,50.1,0.0,60.1,1.0,1.0,15,Kişisel Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,8,40.84608617464806,Nascita Bronz Profesyonel Tırnak Eti Makası,Nascita,Kişisel Bakım,Kişisel Bakım
10494438,40.4,40.4,,0.0,60.2,1.0,1.0,11,Kişisel Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,8,29.532119637455914,Nascita Gold Büyük Profesyonel Tırnak Makası 18,Nascita,Kişisel Bakım,Kişisel Bakım
10494441,40.0,40.0,40.0,0.0,60.0,1.0,1.0,13,Kişisel Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,8,40.28943651060173,Nascita Mor Küçük Profesyonel Tırnak Makası 20,Nascita,Kişisel Bakım,Kişisel Bakım
10494442,40.0,,,0.0,60.0,1.0,1.0,11,Kişisel Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,8,29.47858128847513,Nascita Pembe Küçük Profesyonel Tırnak Makası 20,Nascita,Kişisel Bakım,Kişisel Bakım
10494443,40.0,40.0,,0.0,60.0,1.0,1.0,10,Kişisel Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,8,29.50233529802736,Nascita Gold Küçük Profesyonel Tırnak Makası 20,Nascita,Kişisel Bakım,Kişisel Bakım
10494444,40.0,40.0,40.0,0.0,60.0,0.9090909090909091,1.0,11,Kişisel Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,8,41.85798310244918,Nascita Bronz Küçük Profesyonel Tırnak Makası 20,Nascita,Kişisel Bakım,Kişisel Bakım
10494446,40.1,40.1,40.1,0.0,60.1,1.0,1.0,13,Kişisel Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,8,40.29321120102828,Nascita İkili Bronz Tırnak Makası Seti 05,Nascita,Kişisel Bakım,Kişisel Bakım
10494450,40.1,,40.1,0.0,60.1,0.9090909090909091,1.0,11,Kişisel Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,8,41.89161825877493,Nascita Silikon Maske Fırçası 280,Nascita,Kişisel Bakım,Kişisel Bakım
10494567,,20.0,,0.0,20.0,1.0,1.0,8,Cilt Bakım,1,Stabil ve Düşük Kampanyalı Ürünler,1,6.990079634295447,Claderm Peloid Ayak Maskesi 30 ml,Claderm,Cilt Bakım,Cilt Bakım
10504444,50.1,50.1,50.1,0.0,70.0,1.0,1.0,9,Saç Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,12,50.59028030745068,Bioxcin Saç Dökülmesine Karşı Bitkisel Klasik Şampuan Kuru ve Normal Saçlar 300 ml,Bioxcin,Saç Bakım,Saç Bakım
10504445,50.1,50.1,,0.0,70.0,1.0,1.0,7,Saç Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,12,34.824716903196645,Bioxcin Saç Dökülmesine Karşı Bitkisel Klasik Şampuan Yağlı Saçlar 300 ml,Bioxcin,Saç Bakım,Saç Bakım
10504446,52.20000000000001,,56.1,8.702335715267317e-15,70.0,1.0,1.0,12,Saç Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,12,52.06980726355254,Bioxcin Forte Saç Dökülmesine Karşı Bitkisel Şampuan Tüm Saç Tipleri 300 ml,Bioxcin,Saç Bakım,Saç Bakım
10504484,50.06666666666666,50.1,55.05,0.05000000000000071,70.0,1.0,1.0,15,Saç Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,12,50.59028030745068,Otacı Naturway Bitki Özlü Sarımsaklı Saç Kremi 300 ml,Otacı,Saç Bakım,Saç Bakım
10504485,50.35,50.7,55.35,0.40414518843273967,70.0,1.0,1.0,11,Saç Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,12,50.59028030745068,Otacı Naturway Kepek ve Dökülme Karşıtı Sarımsaklı Şampuan 500 ml,Otacı,Saç Bakım,Saç Bakım
10504498,40.0,,50.0,0.0,60.0,1.0,1.0,10,Saç Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,12,43.842848222475276,Hobby Style & Protect İpeksi Dokunuş Saç Köpüğü 150 ml,Hobby,Saç Bakım,Saç Bakım
10505833,20.0,60.0,40.0,23.09401076758503,76.4,1.0,1.0,14,Hijyen & Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,7,29.75969938272744,Benri Aloe Vera Yara Bandı 15 Adet,Benri,Hijyen & Bakım,Hijyen & Bakım
10505834,20.0,60.0,20.0,20.0,60.0,1.0,1.0,11,Hijyen & Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,7,21.467855451028935,Benri Hassas Yara Bandı 15 Adet,Benri,Hijyen & Bakım,Hijyen & Bakım
10506408,,60.1,,0.0,60.1,1.0,1.0,8,Cilt Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,1,6.817215372155083,Bee Beauty Kağıt Maske 3'lü 25 ml,Bee Beauty,Cilt Bakım,Cilt Bakım
10507840,15.05,,,21.28391411371508,60.2,0.9,1.0,10,Parfüm & Deodorant,2,Oynak Fiyatlı ve Dönemsel Fırsat Ürünleri,11,15.605606371549923,Selin Kiraz Çiçeği Kolonyası 100 ml (Pet),Selin,Parfüm & Deodorant,Parfüm & Deodorant
10507841,30.1,30.1,45.150000000000006,4.351167857633658e-15,60.2,1.0,1.0,14,Parfüm & Deodorant,0,Sürekli İndirimli Ana Katalog Ürünleri,11,30.433343764031065,Selin Ardıç Kolonyası 100 ml (Pet),Selin,Parfüm & Deodorant,Parfüm & Deodorant
10507842,30.100000000000005,30.1,60.2,0.0,60.2,1.0,1.0,10,Parfüm & Deodorant,0,Sürekli İndirimli Ana Katalog Ürünleri,11,30.301534471458545,Selin Çiçek Buketi Kolonyası 100 ml (Pet),Selin,Parfüm & Deodorant,Parfüm & Deodorant
10507877,0.0,0.0,,0.0,0.0,0.0,1.0,10,Süpermarket,1,Stabil ve Düşük Kampanyalı Ürünler,13,0.1111775835275835,Big Babol Shakies Çilekli Milkshake Aromalı Sakız 26 gr,Big,Süpermarket,Süpermarket
10507889,30.100000000000005,30.1,45.150000000000006,0.0,60.2,1.0,1.0,10,Parfüm & Deodorant,0,Sürekli İndirimli Ana Katalog Ürünleri,11,30.31640389172638,Selin Buz Ferahlığı Kolonyası 100 ml (Pet),Selin,Parfüm & Deodorant,Parfüm & Deodorant
10507898,19.0,19.0,,0.0,60.0,1.0,1.0,11,Süpermarket,0,Sürekli İndirimli Ana Katalog Ürünleri,13,20.095893536135065,Vanish Kosla Ön İşlem İçin Özel Leke Çıkarıcı Konsantre Jel 200 ml,Vanish,Süpermarket,Süpermarket
10508302,20.4,20.4,40.25,0.0,60.1,1.0,1.0,10,Saç Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,12,27.6201677369741,Palette Deluxe Saç Boyası 7-11 Küllü Kumral,Palette,Saç Bakım,Saç Bakım
10508348,55.73333333333333,50.2,,8.299999999999997,66.8,1.0,1.0,8,Saç Bakım,1,Stabil ve Düşük Kampanyalı Ürünler,12,36.21747057363396,Urban Care Summer Glow Aşamalı Renk Açıcı Sprey 150 ml,Urban,Saç Bakım,Saç Bakım
10508352,27.900000000000002,,,2.424871130596428,29.3,1.0,1.0,10,Erkek Bakım,1,Stabil ve Düşük Kampanyalı Ürünler,4,29.268617730549963,Orien Sakal ve Bıyık Serumu 50 ml,Orien,Erkek Bakım,Erkek Bakım
10508354,57.36666666666667,56.0,56.0,2.0500000000000007,70.2,1.0,1.0,7,Saç Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,12,54.6400377137398,Mixup! Magic Butter Saç Bakım Kremi 250 ml,Mixup!,Saç Bakım,Saç Bakım
10508359,45.1,,52.55,0.0,75.0,1.0,1.0,11,Saç Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,12,47.79048601098616,Hask Bukleli Saçlar İçin Nemlendirici Şampuan 355 ml,Hask,Saç Bakım,Saç Bakım
