urun_id,isim,marka,kategori,tahmini_indirim,gercek_indirim,hata,dogru_mu
10207558,Agarta Doğal Misvak Özlü Florürsüz Beyazlatıcı Diş Macunu 100 ml,Agarta,Hijyen & Bakım,28.25377362875505,24.9,3.35377362875505,True
10207559,Agarta Doğal Hindistan Cevizi Özlü Aktif Karbonlu Florürsüz Diş Macunu 100 ml,Agarta,Hijyen & Bakım,29.45067479421714,24.9,4.550674794217141,True
10207560,Agarta Doğal Florürsüz Çocuk Diş Macunu Çilekli 75 ml,Agarta,Hijyen & Bakım,27.996238226527552,25.0,2.9962382265275522,True
10207565,Penti Fit 15 Kızıl Siyah Külotlu Çorap 2,Penti,Moda & Aksesuar,1.9604588467088468,0.0,1.9604588467088468,True
10207566,Penti Fit 15 Kızıl Siyah Külotlu Çorap 3,Penti,Moda & Aksesuar,0.26340529854132794,0.0,0.26340529854132794,True
10207569,Penti Fit 15 Soğan Kabuğu Külotlu Çorap 2,Penti,Moda & Aksesuar,1.518991795241795,0.0,1.518991795241795,True
10207570,Penti Fit 15 Soğan Kabuğu Külotlu Çorap 3,Penti,Moda & Aksesuar,1.3131942378098336,0.0,1.3131942378098336,True
10207577,Penti Fit 15 Kestane Külotlu Çorap 2,Penti,Moda & Aksesuar,1.518991795241795,0.0,1.518991795241795,True
10207578,Penti Fit 15 Kestane Külotlu Çorap 3,Penti,Moda & Aksesuar,1.518991795241795,0.0,1.518991795241795,True
10207582,Penti Fit 15 Mürdüm Külotlu Çorap 3,Penti,Moda & Aksesuar,1.518991795241795,0.0,1.518991795241795,True
10207623,Celenes Derma Leke Karşıtı Yüz Yıkama Jeli 250 ml,Celenes,Cilt Bakım,52.51583315009965,57.1,4.584166849900349,True
10207624,Celenes Derma Sivilce Karşıtı Yüz Yıkama Jeli 250 ml,Celenes,Cilt Bakım,54.664460064054744,57.1,2.4355399359452576,True
10207646,Orien Dengeleyici Ferahlatıcı Kağıt Yüz Maskesi 20 ml,Orien,Erkek Bakım,34.31891110981996,35.0,0.6810888901800425,True
10207648,Orien Erkek Serinletici Etkili Akne Yara Bandı 36'lı,Orien,Erkek Bakım,54.477934046778394,50.4,4.077934046778395,True
10207652,Axe Premium Collection Erkek Sprey Deodorant Black Vanilla 150 ml,Axe,Erkek Bakım,29.262671648804414,23.4,5.862671648804415,False
10207653,Axe Premium Collection Erkek Sprey Deodorant Cherry Spritz 150 ml,Axe,Erkek Bakım,29.494509444268797,23.4,6.094509444268798,False
10207655,Balmy Ördek Bebek Banyo Süngeri,Balmy,Anne & Bebek,24.703311655902937,37.0,12.296688344097063,False
10207656,Balmy Tavşan Bebek Banyo Süngeri,Balmy,Anne & Bebek,31.552950255020114,30.4,1.1529502550201158,True
10207657,Morfose Milk Therapy Çift Fazlı Fön Suyu 50 ml,Morfose,Saç Bakım,41.12805231345602,39.5,1.628052313456017,True
10207666,Beaulis Drip It Dudak Yağı 584 Ruby Touch,Beaulis,Makyaj,51.13658717350652,50.0,1.1365871735065198,True
10207667,Beaulis Drip It Dudak Yağı 184 Coffee Touch,Beaulis,Makyaj,50.99351534077994,50.0,0.9935153407799433,True
10207668,Beaulis Drip It Dudak Yağı 380 Ruddy Touch,Beaulis,Makyaj,46.868270305773414,56.4,9.531729694226584,False
10207728,Beaulis Drip It Dudak Yağı 197 Choco Touch,Beaulis,Makyaj,38.67599938287653,54.26666666666667,15.59066728379014,False
10207735,Emily Waterproof Eye Pencil Göz Kalemi 124,Emily,Makyaj,22.653472896198583,0.0,22.653472896198583,False
10207737,Orien Nemlendirici ve Serinletici Jel Göz Maskesi,Orien,Erkek Bakım,33.06912826916634,35.0,1.9308717308336583,True
10207738,Beaulis Vibe It Krem & Toz Allık 658 Rosy Dream,Beaulis,Makyaj,51.52969429697815,50.0,1.5296942969781497,True
10207739,Beaulis Vibe It Krem & Toz Allık 361 Scarlet Blaze,Beaulis,Makyaj,37.269648880612316,53.333333333333336,16.06368445272102,False
10207740,Beaulis Vibe It Krem & Toz Allık 667 Pink Mirage,Beaulis,Makyaj,37.271746066759505,53.333333333333336,16.06158726657383,False
10207741,Beaulis Vibe It Krem & Toz Allık 261 Peachy Glow,Beaulis,Makyaj,51.11657968422448,50.0,1.116579684224483,True
10207742,Arm&Hammer Sensitive Care Diş Macunu 75 ml,Arm&Hammer,Hijyen & Bakım,30.718412430732585,29.899999999999995,0.8184124307325895,True
10207746,Loreal Paris Bright Reveal SPF 50+ Koyu Leke Karşıtı Renkli Fluid Günlük Yüz Güneş Kremi 50 ml - Light,Loreal,Güneş Ürünleri,50.156779582113685,50.0,0.15677958211368548,True
10207747,Illusione Fortune EDP Kadın Parfüm 50 ml,Illusione,Parfüm & Deodorant,43.8493829446975,40.0,3.8493829446975028,True
10207748,Illusione Idylle EDP Kadın Parfüm 50 ml,Illusione,Parfüm & Deodorant,43.8493829446975,40.0,3.8493829446975028,True
10207749,Illusione Lumiere EDP Kadın Parfüm 50 ml,Illusione,Parfüm & Deodorant,49.959758812976,50.0,0.04024118702400159,True
10207750,Illusione Mirage EDP Kadın Parfüm 50 ml,Illusione,Parfüm & Deodorant,43.8493829446975,40.0,3.8493829446975028,True
10207752,Flormar Nail Hardener Tırnak Bakım Bazı,Flormar,Makyaj,21.61584844259714,0.0,21.61584844259714,False
10207756,Eklips Hasır Plaj Çantası Bej Düz,Eklips,Moda & Aksesuar,2.6823661867702744,0.0,2.6823661867702744,True
10207759,Eklips Hasır Plaj Çantası Siyah Düz,Eklips,Moda & Aksesuar,2.2771384089766444,0.0,2.2771384089766444,True
10207760,Benri Duş Jeli Ruby Glow 500 ml,Benri,Duş & Banyo,29.169751325529543,39.5,10.330248674470457,False
10207761,Eklips XL Banyo Lifi (Asortili),Eklips,Duş & Banyo,33.74838425721764,33.8,0.05161574278236003,True
10207763,Rocs Uno Hızlı Beyazlatıcı Diş Macunu 74 gr,Rocs,Hijyen & Bakım,21.45673815940196,19.9,1.556738159401963,True
10207764,Illusione Nuage EDP Erkek Parfüm 100 ml,Illusione,Erkek Bakım,43.23010060551522,40.0,3.2301006055152186,True
10207765,Illusione Elan EDP Erkek Parfüm 100 ml,Illusione,Erkek Bakım,40.28943651060173,40.0,0.2894365106017318,True
